ts	phase	decision	why	evidence	result
2026-08-27T08:36:27Z	frame	done predicate set: zero @ampcode/sdk imports in plugins/amp, stub override + root devDependency + sdk patch deleted, full amp suite green incl parity on a rebuilt dist, typecheck green, staged green commits stacked above fable/amp-native-bridge	the user approved the own-the-spawn-layer plan and went to sleep; the predicate must be checkable without them	plugins/amp/src, package.json	open
2026-08-27T08:36:27Z	frame	scope: one new owned execute module (~250 lines), deletions in conversation.ts entry.ts amp-cli-shim root manifest, retry-pinning tests rewritten; 3-5 commits	sized from the completed investigation	.audit/amp-own-spawn.tsv	open
2026-08-27T08:36:27Z	frame	rigor high: full amp test run per commit, dist rebuilt before parity, cross-model trail review at the end	overnight autonomous run; the user reviews after the fact	test suite	open
2026-08-27T08:41:47Z	observe	workspace reconciled: bun-mock migration is committed	graph shows 37333e9 test(amp) atop U7 ac10577 on the fable/amp-native-bridge lane; not on origin/main; notify lane committed 05cf7ae separately	git log --graph -14	no pull needed; branch stack continues above 37333e9
2026-08-27T08:41:47Z	verify	baseline suite green before any change	bun test --timeout=30000 test/*.test.ts in plugins/amp on the current working tree	109 pass 0 fail across 16 files in 12.26s	baseline established
2026-08-27T08:42:16Z	observe	correction: bun-mock commit is its own foreign branch	but status shows mzy on codex/migrate-bun-mocks stacked above fable/amp-native-bridge; uncommitted area holds only the trail file	but status	new branch fable/amp-own-spawn will anchor above codex/migrate-bun-mocks; do not touch the codex branches
2026-08-27T08:46:18Z	design	owned spawn layer shape locked	new src/bridge/execute.ts owns types+argv table+settings merge+spawn+NDJSON both ways; conversation.ts stays protocol-level and re-exports types; fast becomes an explicit option replacing the shim env marker; CLI path resolves providerOptions.ampCliPath then env AMP_CLI_PATH then amp; stdin gets a local error handler killing the global EPIPE guard; non-JSON stdout lines skip+log instead of throwing	conversation.ts options.ts entry.ts shim+tests read verbatim; SDK behavior verified verbatim last window	stages: 1 add execute.ts+tests, 2 wire callers and delete shim, 3 drop SDK+stub+patch+manifests
2026-08-27T08:56:49Z	run	stage 1 landed: owned spawn layer in src/bridge/execute.ts plus 17 tests	leaf module with no bridge imports; argv builder faithful to inputs; mode default dropped since conversation always sets one; fake CLI left non-executable so a passing spawn proves the node wrap; integration pins steer passthrough, settings merge, non-JSON skip, stderr-in-error against events.ts parseUnsupportedFlag	bun test 126 pass 0 fail (109 baseline + 17 new)	ready to commit stage 1
2026-08-27T09:12:48Z	run	stage 2 landed: every caller rewired onto the owned execute layer; amp-cli-shim source, test, and built bundle deleted	deviation from the uncurry micro-plan: threadCommand keeps a one-arg cliPath curry so in-session archive/rename honors providerOptions without mutating process.env; sessionless calls resolve ambient AMP_CLI_PATH then amp; server.ts stops gating registration on a bundle check (bridge bundle line in bb amp status is diagnostics only); unsupportedOptionFrom deleted with zero callers; fast rides as an explicit execute option	bun test 120 pass 0 fail across 16 files, run twice: before and after bun run build so parity replays the rebuilt dist/host.js	ready to commit stage 2
2026-08-27T09:19:01Z	run	stage 3 landed: @ampcode/sdk and every accommodation deleted	removed the sdk+esbuild devDeps, the root overrides block (@ampcode/cli stub and zod), the stub devDependency, the sdk patch registration and file, vendor/ampcode-cli-stub, cli-stub.test.ts, the sdk allowlist line, and every doc/manifest mention (README, both notices files, marketplace.json, AGENTS.md override rule, provision hint); execute.ts keeps its no-sdk-code provenance comment; zod override removable because only the sdk declared zod 3	bun install clean (3 packages removed); bun test 118 pass 0 fail across 15 files, run twice: before and after bun run build; tsc --noEmit clean	ready to commit stage 3
